,train_auc_base_A,auc_base_A,train_auc_shock_A,auc_shock_A,train_auc_base_B,auc_base_B,train_auc_shock_B,auc_shock_B,dist_shift,score_A,score_B,difference_uplift,uplift_score
without,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8033224730913642,0.6817238147895696,0.8033224730913642,0.6772941325636379,0.11927914767464,0.9945155552258557,0.9960189566537515,0.0015034014278958452,0.0
0.01,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8082518703435833,0.6873411130061347,0.8082518703435833,0.6858475973120324,0.11927914767464,0.9945155552258557,0.9986577477992176,0.0041421925733619025,0.0582362949196036
0.03,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8217468108244028,0.6774416467656694,0.8217468108244028,0.6748102238232684,0.11927914767464,0.9945155552258557,0.9976350879675555,0.0031195327416998486,0.0
0.05,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8101421585074475,0.6835127104719387,0.8101421585074475,0.6804309399682276,0.11927914767464,0.9945155552258557,0.9972303516747448,0.0027147964488891674,0.0
0.07,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8094229555236728,0.6830436677773519,0.8094229555236728,0.6730506641606814,0.11927914767464,0.9945155552258557,0.991019089287197,0.0,0.0
0.1,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8018357644298864,0.6824550078190035,0.8018357644298864,0.6774795456410027,0.11927914767464,0.9945155552258557,0.9955284533770196,0.001012898151163899,0.0
0.5,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.7991118370453127,0.6761783519406439,0.7991118370453127,0.6792732642695725,0.11927914767464,0.9945155552258557,0.997218540855555,0.002702985629699284,0.0
1.0,0.7889763699223888,0.6894708203761508,0.7889763699223888,0.6833683127111627,0.8158557176338397,0.6792897009860949,0.8158557176338397,0.6828146092975037,0.11927914767464,0.9945155552258557,0.9968320949306203,0.002316539704764642,0.0
