,auc_base_A,auc_shock_A,auc_base_B,auc_shock_B,dist_shift,score_A,score_B,difference_uplift,uplift_score
without,0.6822,0.6955,0.6736,0.6886,0.1201,0.988,0.9865,0.0,0.0
0.01,0.6822,0.6955,0.6787,0.6884,0.1201,0.988,0.9913,0.0033,0.0
0.03,0.6822,0.6955,0.6787,0.6846,0.1201,0.988,0.9947,0.0067,0.0
0.05,0.6822,0.6955,0.676,0.6865,0.1201,0.988,0.9906,0.0026,0.0
0.07,0.6822,0.6955,0.6761,0.6859,0.1201,0.988,0.9912,0.0032,0.0
0.1,0.6822,0.6955,0.6769,0.6879,0.1201,0.988,0.9901,0.0021,0.0
0.5,0.6822,0.6955,0.6777,0.6886,0.1201,0.988,0.9902,0.0022,0.0
1.0,0.6822,0.6955,0.6739,0.6884,0.1201,0.988,0.987,0.0,0.0
