,auc_base_A,auc_shock_A,auc_base_B,auc_shock_B,dist_shift,score_A,score_B,difference_uplift,uplift_score
without,0.6817,0.6941,0.6728,0.6899,0.1201,0.9888,0.9846,0.0,0.0
0.01,0.6817,0.6941,0.679,0.687,0.1201,0.9888,0.9929,0.0041,0.0
0.03,0.6817,0.6941,0.6781,0.6854,0.1201,0.9888,0.9934,0.0046,0.0
0.05,0.6817,0.6941,0.6756,0.686,0.1201,0.9888,0.9907,0.0019,0.0
0.07,0.6817,0.6941,0.6753,0.6861,0.1201,0.9888,0.9902,0.0014,0.0
0.1,0.6817,0.6941,0.6761,0.686,0.1201,0.9888,0.9911,0.0023,0.0
0.5,0.6817,0.6941,0.6768,0.6878,0.1201,0.9888,0.9902,0.0013,0.0
1.0,0.6817,0.6941,0.6734,0.6888,0.1201,0.9888,0.9861,0.0,0.0
