,train_auc_base_A,auc_base_A,train_auc_shock_A,auc_shock_A,train_auc_base_B,auc_base_B,train_auc_shock_B,auc_shock_B,dist_shift,score_A,score_B,difference_uplift,uplift_score
without,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9167519399249061,0.673115597408596,0.9167519399249061,0.6787568523034927,0.11927914767464,0.9984372173368715,0.9949300922462679,0.0,0.0
0.01,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9126535450982222,0.6793903030054813,0.9126535450982222,0.682076089469641,0.11927914767464,0.9984372173368715,0.9975862303914276,0.0,0.16801502733433107
0.03,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9120049033331779,0.6784876477297586,0.9120049033331779,0.6795993406872067,0.11927914767464,0.9984372173368715,0.9990008994718826,0.0005636821350111232,0.05775291681845958
0.05,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9175690508870928,0.6733691340002645,0.9175690508870928,0.6780092333624206,0.11927914767464,0.9984372173368715,0.9958298505966175,0.0,0.0
0.07,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9108428776388604,0.6750532020533865,0.9108428776388604,0.6785080437652429,0.11927914767464,0.9984372173368715,0.9968950651744698,0.0,0.0
0.1,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9103576368575155,0.6730658652309994,0.9103576368575155,0.6722911119563838,0.11927914767464,0.9984372173368715,0.9993037138531435,0.0008664965162720195,0.0
0.5,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9110059990770651,0.6757787067618534,0.9110059990770651,0.6671750236800692,0.11927914767464,0.9984372173368715,0.9922676992301037,0.0,0.0
1.0,0.9420400380595377,0.6793083911835576,0.9420400380595377,0.6775694926125642,0.9138248296427469,0.6800407218771849,0.9138248296427469,0.6764233026797634,0.11927914767464,0.9984372173368715,0.9967489535610068,0.0,0.0
